timestamp,source_month,is_forecast_month,data_type,price_entsoe,solar_ghi,solar_cloud_cover,wind_speed_ms,dw_wind_speed,dw_temperature,dw_humidity,dw_hdd,load_NL_load_forecast_mw,load_DE_LU_load_forecast_mw,flow_NL_NO_net_mw,flow_NL_GB_net_mw,gen_FR_nuclear_actual_mw,grid_balance_delta_mw,cal_hour,cal_day_of_week,cal_month,cal_is_working_day,cal_is_holiday_nl
2026-02-09 04:00:00+00:00,2026-02,False,measured,99.905,0.0,96.5952380952381,8.97776923076923,9.664132034632035,2.8504891774891776,93.81476190476191,15.149510822510823,12736.132249999999,53985.943749,-105.325,431.0,50952.06,0.6683333333333332,5.0,0.0,2.0,1.0,0.0
2026-02-09 05:00:00+00:00,2026-02,False,measured,126.69,0.0,97.3402380952381,8.938207692307692,9.752084776334776,2.726969696969697,94.05378787878787,15.273030303030302,13923.1655,63035.39028975,-80.53333333333333,1070.8,51108.3225,-58.245,6.0,0.0,2.0,1.0,0.0
2026-02-09 06:00:00+00:00,2026-02,False,measured,151.4975,0.0,97.92738095238096,8.891176923076923,9.816200577200577,2.67955772005772,93.73385642135642,15.320442279942279,15178.027,69515.8226895,-571.65,1054.3999999999999,51108.0225,98.725,7.0,0.0,2.0,1.0,0.0
2026-02-09 07:00:00+00:00,2026-02,False,measured,176.01,0.9076190476190475,98.09333333333333,8.969853846153846,9.906039682539681,2.683926046176046,93.15597763347763,15.316073953823954,16359.9825,72325.62755675,-647.6,660.15,51101.6575,249.64666666666665,8.0,0.0,2.0,1.0,0.0
2026-02-09 08:00:00+00:00,2026-02,False,measured,163.4075,21.913809523809526,98.51833333333333,9.042253846153846,10.229444444444443,2.9359469696969698,92.1185137085137,15.064053030303032,16537.076999999997,72584.11143675,-647.6,710.4,51080.2475,230.86499999999998,9.0,0.0,2.0,1.0,0.0
2026-02-09 09:00:00+00:00,2026-02,False,measured,149.055,74.18404761904762,97.66238095238096,9.035069230769231,10.367631673881673,3.523459235209235,89.80061327561327,14.476540764790764,16252.246749999998,72952.33239025,-648.85,1071.3500000000001,51044.235,119.94166666666666,10.0,0.0,2.0,1.0,0.0
2026-02-09 10:00:00+00:00,2026-02,False,measured,137.0425,131.63095238095238,97.70261904761904,8.921692307692307,10.489564574314574,4.366379870129871,86.37727994227994,13.63362012987013,15580.30475,73223.25695975,-636.125,1068.425,50898.0775,104.08500000000001,11.0,0.0,2.0,1.0,0.0
2026-02-09 11:00:00+00:00,2026-02,False,measured,130.4375,180.03500000000003,96.58928571428571,8.726953846153846,10.34985642135642,5.3905808080808075,82.78857142857143,12.609419191919192,15141.47575,72405.379176,-398.325,993.275,50842.832500000004,265.23833333333334,12.0,0.0,2.0,1.0,0.0
2026-02-09 12:00:00+00:00,2026-02,False,measured,125.8075,212.62357142857144,95.73833333333333,8.505046153846154,10.386950216450217,6.2625371572871575,79.60112193362194,11.737462842712842,14826.188750000001,70813.14191375,-341.875,980.175,50700.119999999995,122.49666666666667,13.0,0.0,2.0,1.0,0.0
2026-02-09 13:00:00+00:00,2026-02,False,measured,128.595,215.22071428571425,94.12880952380952,8.298669230769232,10.246351731601731,6.843165223665224,76.98594155844157,11.156834776334776,14832.37075,69497.7791715,-600.65,1007.2,50657.32,-5.58,14.0,0.0,2.0,1.0,0.0
2026-02-09 14:00:00+00:00,2026-02,False,measured,138.3025,192.39666666666668,95.38190476190476,8.139323076923077,10.146777417027417,7.161499639249639,75.71548701298701,10.838500360750361,15337.884,68931.430295,-596.175,1070.425,50565.195,38.82833333333333,15.0,0.0,2.0,1.0,0.0
2026-02-09 15:00:00+00:00,2026-02,False,measured,155.1225,138.33619047619047,96.12047619047618,8.146584615384615,10.234814574314573,7.138714285714286,75.62717532467533,10.861285714285714,16192.61775,70247.7147295,-646.45,1058.125,49722.54,0.6599999999999999,16.0,0.0,2.0,1.0,0.0
2026-02-09 16:00:00+00:00,2026-02,False,measured,202.9475,68.98190476190476,94.86190476190475,8.33853846153846,10.037319985569985,6.745657647907649,77.49172077922078,11.254342352092351,17024.915999999997,72805.93322400001,-648.4,1068.75,49833.55,81.30666666666666,17.0,0.0,2.0,1.0,0.0
2026-02-09 17:00:00+00:00,2026-02,False,measured,173.45,11.858095238095238,94.51071428571429,8.584215384615383,10.158275974025974,6.032276695526695,80.64992424242425,11.967723304473305,16850.51625,74453.4259565,-644.825,1068.825,49833.55,128.74333333333334,18.0,0.0,2.0,1.0,0.0
