timestamp,source_month,is_forecast_month,data_type,price_entsoe,solar_ghi,solar_cloud_cover,wind_speed_ms,dw_wind_speed,dw_temperature,dw_humidity,dw_hdd,load_NL_load_forecast_mw,load_DE_LU_load_forecast_mw,flow_NL_NO_net_mw,flow_NL_GB_net_mw,gen_FR_nuclear_actual_mw,grid_balance_delta_mw,cal_hour,cal_day_of_week,cal_month,cal_is_working_day,cal_is_holiday_nl,timestamp_local,local_date,local_hour,local_day_of_week,local_month,local_hour_sin,local_hour_cos,local_dow_sin,local_dow_cos,local_month_sin,local_month_cos,load_total_nl_de_mw,nl_load_share,cross_border_net_flow_proxy_mw,cross_border_abs_flow_mw,wind_load_interaction,solar_cloud_interaction,workday_load_interaction,continuous_segment_id,price_lag_96h,price_lag_120h,price_lag_168h,price_lag_192h,price_lag_336h,price_roll_24_mean_shift96h,price_roll_24_std_shift96h,price_roll_24_min_shift96h,price_roll_24_max_shift96h,price_roll_48_mean_shift96h,price_roll_168_mean_shift96h
2026-04-28 09:00:00+00:00,2026-04,True,predicted,-3.8975,463.2142857142857,56.31122448979592,8.56523,14.371428571428572,12.344155844155845,54.50649350649351,5.655844155844156,7011.3505,63386.7493255,-434.925,-1080.6,40555.6225,-41.48833333333333,11.0,1.0,4.0,1.0,0.0,2026-04-28 11:00:00+02:00,2026-04-28,11,1,4,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,70398.0998255,0.09959573507494457,-1515.5249999999999,1515.5249999999999,60053.829643114994,20237.264941690963,7011.3505,3,-0.035,0.0,17.945,80.64,106.7875,74.86562500000001,67.07719825859475,-49.365,151.95,76.05119791666667,84.95970238095238
2026-04-28 10:00:00+00:00,2026-04,True,predicted,-31.9975,564.515306122449,55.04081632653061,8.58244,15.928571428571429,13.67012987012987,49.701298701298704,4.345454545454546,6393.85125,62587.4809515,-435.15,-1084.25,38713.235,-43.085,12.0,1.0,4.0,1.0,0.0,2026-04-28 12:00:00+02:00,2026-04-28,12,1,4,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,68981.3322015,0.09268958783403962,-1519.4,1519.4,54874.844722049995,25380.147334443984,6393.85125,3,-6.9075,-27.745,-1.5975,51.182500000000005,100.48,75.73385416666666,65.81425575295039,-49.365,151.95,76.04296875,84.64720238095238
2026-04-28 11:00:00+00:00,2026-04,True,predicted,-43.8025,629.234693877551,55.474489795918366,8.63555,16.997402597402598,14.824675324675326,45.63636363636363,3.2909090909090915,6192.384,60860.0174075,-435.475,-1084.225,38477.7425,-2.6733333333333325,13.0,1.0,4.0,1.0,0.0,2026-04-28 13:00:00+02:00,2026-04-28,13,1,4,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,67052.4014075,0.09235141277590939,-1519.6999999999998,1519.6999999999998,53474.6416512,28016.995783007078,6192.384,3,-26.1075,-49.365,-6.28,37.8325,93.995,76.70291666666667,64.03948310658019,-48.5625,151.95,75.90734375,84.26022321428572
2026-04-28 12:00:00+00:00,2026-04,True,predicted,-48.0,653.3591836734694,49.54081632653061,8.78866,17.43896103896104,15.68051948051948,43.12987012987013,2.657142857142857,6101.10625,59254.1925375,-435.25,-1083.125,38590.335,-33.6,14.0,1.0,4.0,1.0,0.0,2026-04-28 14:00:00+02:00,2026-04-28,14,1,4,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,65355.298787499996,0.09335289354023903,-1518.375,1518.375,53620.548455125,32967.97105372761,6101.10625,3,-29.942500000000003,-48.5625,-8.1225,36.8575,91.66,77.47874999999999,62.55142176380895,-29.942500000000003,151.95,75.6625,83.80247023809524
2026-04-28 13:00:00+00:00,2026-04,True,predicted,-39.9075,644.6448979591836,49.204081632653065,9.12511,17.92207792207792,16.198701298701298,41.37662337662338,2.349350649350649,6148.10325,58017.411831000005,-435.425,-1082.525,38047.99,-41.29833333333333,15.0,1.0,4.0,1.0,0.0,2026-04-28 15:00:00+02:00,2026-04-28,15,1,4,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,64165.515081000005,0.09581631569915519,-1517.95,1517.95,56102.1184476075,32745.329612661386,6148.10325,3,-16.535,-22.6375,-3.305,63.8725,102.4125,77.73302083333333,62.137791614506284,-29.942500000000003,151.95,75.41036458333333,83.31651785714286
2026-04-28 14:00:00+00:00,2026-04,True,predicted,-7.68,587.7168367346939,49.33673469387755,9.43777,18.476623376623376,16.381818181818183,40.15584415584416,2.2766233766233768,6773.028,57883.664535250005,-435.25,-1080.925,38418.4375,-84.85,16.0,1.0,4.0,1.0,0.0,2026-04-28 16:00:00+02:00,2026-04-28,16,1,4,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,64656.692535250004,0.10475370351348287,-1516.175,1516.175,63922.280467560005,29775.654024364845,6773.028,3,-1.595,-1.94,8.395,75.035,108.08,77.74739583333333,62.1185955691032,-29.942500000000003,151.95,75.37302083333333,82.82194940476191
2026-04-28 15:00:00+00:00,2026-04,True,predicted,22.64,491.0887755102041,46.30612244897959,9.84411,18.607792207792208,16.376623376623375,39.84415584415585,2.325974025974026,8065.928,58438.7858595,-435.25,-1078.9,40240.1925,-95.395,17.0,1.0,4.0,1.0,0.0,2026-04-28 17:00:00+02:00,2026-04-28,17,1,4,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,66504.7138595,0.1212835531785061,-1514.15,1514.15,79401.88248408001,26368.460578925446,8065.928,3,46.48,21.9875,61.155,100.6675,126.545,78.76791666666666,61.359258189613975,-29.942500000000003,151.95,75.28265624999999,82.48242559523808
2026-04-28 16:00:00+00:00,2026-04,True,predicted,83.8125,376.0204081632653,45.81122448979592,10.30422,18.7012987012987,16.032467532467532,40.88311688311688,2.512987012987013,9609.3005,59587.88725,-435.225,-1076.85,41129.9175,-3.8283333333333336,18.0,1.0,4.0,1.0,0.0,2026-04-28 18:00:00+02:00,2026-04-28,18,1,4,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,69197.18775,0.13886836752263823,-1512.0749999999998,1512.0749999999998,99016.34639811,20376.085485214495,9609.3005,3,103.9725,98.0,95.6325,117.75,152.77,79.01677083333334,61.452689019768826,-29.942500000000003,151.95,75.50635416666667,82.38547619047618
2026-04-28 17:00:00+00:00,2026-04,True,predicted,109.0425,248.24489795918367,40.10204081632653,10.61655,18.33506493506493,15.418181818181818,43.03896103896104,2.8909090909090907,11345.162,60104.201185,-363.4666666666667,-1076.025,41129.9175,146.3383333333333,19.0,1.0,4.0,1.0,0.0,2026-04-28 19:00:00+02:00,2026-04-28,19,1,4,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,71449.363185,0.15878604782837016,-1439.4916666666668,1439.4916666666668,120446.47963110001,14869.36276551437,11345.162,3,136.5675,123.2675,121.36,132.84,212.65,79.5709375,61.92721804409355,-29.942500000000003,151.95,75.64296875000001,82.30248511904763
2026-04-28 18:00:00+00:00,2026-04,True,predicted,111.3725,124.45408163265306,37.36734693877551,10.77611,17.758441558441557,14.523376623376622,45.85714285714285,3.5701298701298705,12549.27475,58819.7095975,-112.8,-1067.175,41129.9175,54.723333333333336,20.0,1.0,4.0,1.0,0.0,2026-04-28 20:00:00+02:00,2026-04-28,20,1,4,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,71368.9843475,0.1758365327002106,-1179.975,1179.975,135232.3651262225,7794.88931695127,12549.27475,3,155.6525,134.96,130.5975,129.355,224.3325,80.43312499999999,62.868794633926505,-29.942500000000003,155.6525,75.80505208333334,82.31662202380953
